Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-03-01,Ночь,VTM9,0.0,43200.0,0.0
2022-03-02,День,CK50,7939.0,8766.0,26495.0
2022-03-02,День,V20,0.0,43200.0,0.0
2022-03-02,День,V26/60_1,3918.0,32339.0,6943.0
2022-03-02,День,V26/60_2,7939.0,4223.0,31038.0
2022-03-02,День,V26/85,8488.0,3750.0,30962.0
2022-03-02,День,VCENTR-102,4967.0,15066.0,23167.0
2022-03-02,День,VCENTR-70,9537.0,21200.0,12463.0
2022-03-02,День,VTM9,1482.0,39608.0,2110.0
2022-03-02,Ночь,CK50,9925.0,11238.0,22037.0
2022-03-02,Ночь,V20,0.0,43200.0,0.0
2022-03-02,Ночь,V26/60_1,2727.0,18388.0,22085.0
2022-03-02,Ночь,V26/60_2,2717.0,14744.0,25739.0
2022-03-02,Ночь,V26/85,4524.0,18030.0,20646.0
2022-03-02,Ночь,VCENTR-102,5568.0,13256.0,24376.0
2022-03-02,Ночь,VCENTR-70,5789.0,20036.0,17375.0
2022-03-02,Ночь,VTM9,6850.0,14977.0,21373.0
2022-03-03,День,CK50,9570.0,9291.0,24339.0
2022-03-03,День,V20,0.0,43200.0,0.0
2022-03-03,День,V26/60_1,6901.0,3726.0,32573.0
2022-03-03,День,V26/60_2,9235.0,2964.0,31001.0
2022-03-03,День,V26/85,0.0,43200.0,0.0
2022-03-03,День,VCENTR-102,6456.0,8351.0,28393.0
2022-03-03,День,VCENTR-70,5210.0,30287.0,7703.0
2022-03-03,День,VTM9,7875.0,18202.0,17123.0
2022-03-03,Ночь,CK50,9946.0,10786.0,22468.0
2022-03-03,Ночь,V20,0.0,43200.0,0.0
2022-03-03,Ночь,V26/60_1,2410.0,18737.0,22053.0
2022-03-03,Ночь,V26/60_2,1913.0,19253.0,22034.0
2022-03-03,Ночь,V26/85,0.0,43200.0,0.0
2022-03-03,Ночь,VCENTR-102,4571.0,13483.0,25146.0
2022-03-03,Ночь,VCENTR-70,8243.0,21598.0,13359.0
2022-03-03,Ночь,VTM9,4007.0,14167.0,25026.0
2022-03-04,День,CK50,12978.0,11640.0,18582.0
2022-03-04,День,V20,0.0,43200.0,0.0
2022-03-04,День,V26/60_1,6883.0,7151.0,29166.0
2022-03-04,День,V26/60_2,6788.0,12655.0,23757.0
2022-03-04,День,V26/85,1414.0,29448.0,12338.0
2022-03-04,День,VCENTR-102,5358.0,12726.0,25116.0
2022-03-04,День,VCENTR-70,4637.0,31662.0,6901.0
2022-03-04,День,VTM9,4595.0,13786.0,24819.0
2022-03-04,Ночь,CK50,6952.0,20360.0,15888.0
2022-03-04,Ночь,V20,0.0,43200.0,0.0
2022-03-04,Ночь,V26/60_1,2358.0,13012.0,27830.0
2022-03-04,Ночь,V26/60_2,2547.0,13052.0,27601.0
2022-03-04,Ночь,V26/85,3166.0,14002.0,26032.0
2022-03-04,Ночь,VCENTR-102,4421.0,18010.0,20769.0
2022-03-04,Ночь,VCENTR-70,9542.0,20821.0,12837.0
2022-03-04,Ночь,VTM9,2390.0,17731.0,23079.0
2022-03-05,День,CK50,5826.0,22247.0,15127.0
2022-03-05,День,V20,0.0,43200.0,0.0
2022-03-05,День,V26/60_1,5659.0,6393.0,31148.0
2022-03-05,День,V26/60_2,4435.0,11291.0,27474.0
2022-03-05,День,V26/85,4796.0,7061.0,31343.0
2022-03-05,День,VCENTR-102,2601.0,9735.0,30864.0
2022-03-05,День,VCENTR-70,4015.0,32234.0,6951.0
2022-03-05,День,VTM9,4015.0,6101.0,33084.0
2022-03-05,Ночь,CK50,6280.0,27296.0,9624.0
2022-03-05,Ночь,V20,0.0,43200.0,0.0
